,average_score,first_token,group_tokens,pair_score,Need_normalize
9201,0.8453287480330233,Minister,"('Minister', 'Theresa', 'May')",0.9029819599245796,True
9328,0.9049486389345236,African,"('African', 'National', 'Congress')",0.90603594171608,True
9746,0.8541159106777849,$,"('$', '60', '.')",0.9219563442726116,True
9836,0.9028587955737484,$,"('$', '40', 'million')",0.9650196495165564,True
9857,0.896252110358298,reported,"('reported', '$', '7')",0.9178369272037044,True
9871,0.9088894623958812,$,"('$', '4', 'million')",0.9313457192967672,True
10560,0.8522821194003449,—,"('—', 'including', '10')",0.9185474529717054,True
10631,0.9255343876010068,Washington,"('Washington', 'State', 'Department')",0.9140193857818204,True
10649,0.8887851793196817,30,"('30', 'mph', 'for')",0.927039220866594,True
10660,0.9101488237696445,cross,"('cross', 'Interstate', '5')",0.9005230257139004,True
10703,0.8641841217652787,10,"('10', 'minutes', 'off')",0.9035623330159058,True
11503,0.9038879725973022,along,"('along', 'Interstate', '5')",0.9268452554378652,True
12079,0.9260920233406656,House,"('House', 'Intelligence', 'Chairman')",0.839724462408722,True
12080,0.9034530745138108,Intelligence,"('Intelligence', 'Chairman', 'Devin')",0.9057161910676405,True
12190,0.9065994335634424,Department,"('Department', 'official', 'Bruce')",0.9136134971995103,True
12239,0.8264465219959553,rose.The,"('rose.The', 'S', '&')",0.9043009934197664,True
12240,0.925894594027683,S,"('S', '&', 'P')",0.9497765686690376,True
12241,0.8667501374660694,&,"('&', 'P', '500')",0.9439762103524796,True
12243,0.867873510950371,500,"('500', 'Index', 'dropped')",0.9385087076301376,True
12361,0.8773307946811114,State,"('State', 'Street', 'Bank')",0.9222463391061998,True
12362,0.9187961427176392,Street,"('Street', 'Bank', '&')",0.9247536024984728,True
12363,0.930310509876284,Bank,"('Bank', '&', 'Trust')",0.8332235919401763,True
12452,0.8830601994448013,National,"('National', 'Congress', 'party')",0.9039432851802042,True
13036,0.8435207866949437,1,"('1', 'percent', 'next')",0.9033186829649326,True
13647,0.9370078173414412,House,"('House', 'Deputy', 'Press')",0.9382044573760088,True
13868,0.8985905079795301,net,"('net', 'operating', 'income')",0.9207671371927676,True
13902,0.9155730153352056,net,"('net', 'operating', 'income')",0.9098758227990434,True
13920,0.8405023798686692,owns,"('owns', '30', 'percent')",0.9277678741162124,True
14138,0.8797168395706978,tax,"('tax', 'pass-through', 'entities')",0.9049629631217396,True
14284,0.8905492684864116,20,"('20', 'percent', 'deduction')",0.9185393490397136,True
14478,0.9144524189566224,plus,"('plus', '2.5', 'percent')",0.9374533338983,True
14979,0.9115055039018995,$,"('$', '1', 'million')",0.9323356492635071,True
14983,0.9115263975511506,$,"('$', '5', 'million')",0.914059552500454,True
15030,0.9040515730602317,Office,"('Office', 'estimated', 'late')",0.9028685688501056,True
15639,0.9140537324521216,including,"('including', 'cabinet', 'sessions')",0.9013645045390892,True
15737,0.8968602744018305,Yemeni,"('Yemeni', 'President', 'Abd')",0.9054312256606629,True
15780,0.8732116204347258,and,"('and', '3', 'million')",0.9195773281804864,True
15865,0.8076499662164848,Yemen,"('Yemen', 'President', 'Ali')",0.9039111011493088,True
16424,0.909969796714706,C,"('C', '$', '7')",0.9297067427903276,True
16425,0.9126516949389112,$,"('$', '7', 'million')",0.9088644794139388,True
16899,0.9149708853760896,at,"('at', '80', 'miles')",0.9009266905405088,True
17027,0.9033212288456456,30,"('30', 'million', 'passengers')",0.9033057584233974,True
17123,0.9211374056635064,National,"('National', 'Safety', 'Council')",0.92132571550648,True
17417,0.7807659996262769,National,"('National', 'Safety', 'Council')",0.9263327103546264,True
17477,0.9322584398651312,50,"('50', 'freight', 'trains')",0.8953581015858342,True
17500,0.8380449181833138,Washington,"('Washington', 'State', 'Department')",0.9191119433508582,True
17526,0.8699655259876374,Nearly,"('Nearly', '700', 'died')",0.9026917913959354,True
17624,0.9195943534243132,$,"('$', '200', 'billion')",0.9202569067786496,True
17713,0.9193509621321015,$,"('$', '200', 'billion')",0.9213816558062464,True
17911,0.8669176880772149,hands,"('hands', '221', 'times')",0.9224305054605576,True
18048,0.9287448767908564,climbed,"('climbed', '9', 'percent')",0.9479838462552332,True
18888,0.8655537252605711,Jan.,"('Jan.', '1', '.')",0.9032690686228944,True
19837,0.8149682183215079,&,"('&', 'R', 'Block')",0.9168726370802608,True
20083,0.8807945962655017,exceed,"('exceed', '2', 'percent')",0.9234093811578108,True
20125,0.8972829214548788,$,"('$', '10,000', 'cap')",0.9531179871935757,True
21000,0.8756596248097072,game,"('game', 'between', 'state')",0.9025823473170864,True
21461,0.8687587062312474,require,"('require', '10', 'hours')",0.9032649159820308,True
22120,0.8652315746967049,bottom,"('bottom', '60', 'percent')",0.9211576605012648,True
22345,0.8750033638476319,1,"('1', 'million', 'for')",0.9229915164199792,True
22394,0.8892241719232616,after,"('after', 'Sept.', '27')",0.9024615735222912,True
22539,0.9307919054176891,20,"('20', 'percent', 'deduction')",0.8927228529381482,True
23361,0.8312295338528611,JPMorgan,"('JPMorgan', 'Chase', '&')",0.9378500535241044,True
23485,0.8838290084584511,five,"('five', 'minutes', 'after')",0.9043754027605015,True
23533,0.8580081179664689,Hall,"('Hall', 'Trading', 'LLC')",0.9048704196122777,True
23590,0.8415981684804889,eight,"('eight', 'hours', 'totaled')",0.9232470128655124,True
23594,0.9018838327490362,$,"('$', '40', 'million')",0.9161386567687062,True
23601,0.9310397866378765,$,"('$', '1.1', 'billion')",0.9150003794162632,True
24045,0.9110636997820688,$,"('$', '57', 'billion')",0.9119182437456401,True
24226,0.7944528777954016,Financial,"('Financial', 'Officer', 'Ben')",0.9052687798480292,True
24432,0.9349962396551864,800,"('800', 'million', 'euro')",0.8717233875527081,True
24436,0.8997010472839055,$,"('$', '914', 'million')",0.9179705840647122,True
24442,0.8811939923639007,January,"('January', '2025', 'rose')",0.9182064571569194,True
24445,0.9150731308296848,129,"('129', 'basis', 'points')",0.9022270734140301,True
24511,0.8899841986046684,further,"('further', '6', 'billion')",0.9481174030263156,True
24966,0.8255366567373517,Pacific,"('Pacific', 'Sea', 'Salt')",0.9208213692057228,True
24967,0.8629723710374716,Sea,"('Sea', 'Salt', 'Glow')",0.9208606408341368,True
25032,0.932432384440843,hall,"('hall', 'hosts', '200')",0.8195811803744085,True
25033,0.91776979209663,hosts,"('hosts', '200', 'performances')",0.9281890485329156,True
25051,0.921067788253776,Chamber,"('Chamber', 'Music', 'Festival')",0.918894879156562,True
25293,0.9136413765322128,hosts,"('hosts', 'woodcarving', 'workshops')",0.9021118806847416,True
25625,0.9195624519876368,features,"('features', 'four', 'rooms')",0.8117198279171469,True
25626,0.9207885355717368,four,"('four', 'rooms', 'decorated')",0.9171064917761674,True
25880,0.9003893712158901,liter,"('liter', 'V8', 'twin-turbo')",0.9043566175270641,True
25894,0.9257731166081814,eight-speed,"('eight-speed', 'automatic', 'transmission')",0.919519523629949,True
26499,0.9017717953183,mere,"('mere', '188', 'units')",0.902691805703027,True
27100,0.8473482482678376,orange,"('orange', 'bitters12', 'lemon')",0.9182739834970508,True
27445,0.9214228596847012,premium,"('premium', 'aged', 'tequila')",0.8830531397955338,True
27498,0.8878590822933439,Elemakule,"('Elemakule', 'Tiki', 'bitters')",0.9206733061717222,True
27499,0.8491732185701585,Tiki,"('Tiki', 'bitters', 'or')",0.9169270698951136,True
27571,0.9345784848663036,3,"('3', 'cinnamon', 'sticks')",0.8842535732860776,True
27591,0.9115829433287502,from,"('from', '1', 'grapefruit')",0.9142802098236535,True
27671,0.8266195556764862,bitter,"('bitter', 'Aperol', 'provides')",0.9254648354848882,True
27672,0.8583868493813361,Aperol,"('Aperol', 'provides', 'contrast')",0.9049814390047208,True
28156,0.935962883606716,2,"('2', 'inches', 'high')",0.9394894613895332,True
28207,0.8503236798865814,connects,"('connects', 'via', 'Bluetooth')",0.9046987042359448,True
28739,0.8233624822685743,zero,"('zero', 'from', '30')",0.9049005598515424,True
28740,0.8540562041419661,from,"('from', '30', 'percent')",0.9040592404132712,True
28819,0.8422261302883497,student,"('student', 'loan', 'default')",0.9046546101927876,True
28834,0.9349113683446741,corporate,"('corporate', 'borrowing', 'costs')",0.8506418335691429,True
29118,0.8438614887282254,improves,"('improves', 'default', 'rates')",0.9170858238498496,True
29166,0.9201485572399706,1.5,"('1.5', 'percent', 'pace')",0.8743579831223585,True
29169,0.905076792635206,–,"('–', 'causing', 'Michael')",0.9031657066446118,True
29174,0.9346520866167692,JPMorgan,"('JPMorgan', 'Chase', '&')",0.8374028175252427,True
29403,0.9006360739822694,International,"('International', 'Finance', 'notes')",0.9176002986058586,True
29579,0.9259319799717641,San,"('San', 'Francisco', 'Fed')",0.922942056090437,True
30030,0.8077407721835601,High,"('High', 'default', 'rates')",0.9046376338462466,True
30277,0.9069440564292316,including,"('including', 'Prime', 'Minister')",0.9024554098898327,True
30664,0.9175437262961752,$,"('$', '3', 'billion.The')",0.9111398498428924,True
31360,0.853844551473092,percent,"('percent', 'per', 'month')",0.9207859570694816,True
31623,0.7999459470984678,data,"('data', 'compiled', 'by')",0.9039060929822028,True
31660,0.9398684822926544,S,"('S', '&', 'P')",0.9493885274678104,True
32046,0.8618833747517529,Dec.,"('Dec.', '18', '.')",0.9031580223470512,True
33578,0.8921096700087807,under,"('under', '$', '10,000')",0.9257177560156652,True
34368,0.8980736604372219,A,"('A', '2014', 'sale')",0.9230728446997852,True
34771,0.928806802934586,36,"('36', 'percent', 'lower')",0.9163424271001279,True
35057,0.8520314338531713,Central,"('Central', 'Bank', 'review')",0.9039684254919716,True
35297,0.8417607789644111,JPMorgan,"('JPMorgan', 'Chase', '&')",0.9399254931266064,True
35367,0.8969455285283546,$,"('$', '126', 'billion')",0.9592690004452336,True
35405,0.9066936696299028,incoming,"('incoming', 'Federal', 'Reserve')",0.9109516862634578,True
35406,0.8896482129121753,Federal,"('Federal', 'Reserve', 'Chair')",0.9275386494160678,True
35701,0.9198609449817196,showed,"('showed', 'three', 'Fed')",0.8691859506066217,True
35728,0.9031285024884542,around,"('around', '4', 'percent')",0.9198340684497532,True
35776,0.8392656440894085,climb,"('climb', '1.7', 'percent')",0.9241300890668313,True
35873,0.9078127264175946,Governor,"('Governor', 'Mark', 'Carney')",0.9117988090354566,True
36745,0.8972735349064551,nightly,"('nightly', 'price', 'tag')",0.927107713766422,True
37058,0.906045575632681,temperature,"('temperature', 'control', 'units')",0.9032811878619684,True
39296,0.93304134407446,$,"('$', '500', 'million')",0.9182181999027158,True
39297,0.8996240111437813,500,"('500', 'million', 'fund')",0.9474016812241712,True
39424,0.89360552179174,Nov.,"('Nov.', '29', 'surge')",0.9223002304562544,True
39905,0.8814396899630415,around,"('around', '125', 'proof')",0.9028396357070876,True
40425,0.9201154797480005,mph,"('mph', 'across', 'two')",0.902064198524222,True
40431,0.9132975725256922,$,"('$', '2', 'million')",0.9648173753034502,True
40457,0.9070304902517328,Bugatti,"('Bugatti', 'Veyron', 'Super')",0.9029940748888734,True
40458,0.9205330714205624,Veyron,"('Veyron', 'Super', 'Sports')",0.8920882093529613,True
41359,0.8473872939894026,share,"('share', 'data', 'between')",0.9171377086717988,True
41370,0.9299794145057104,Pilot,"('Pilot', 'Sport', 'Cup')",0.8899135633695946,True
41482,0.9256985443235572,$,"('$', '400', 'per')",0.9312665159639871,True
41590,0.8799528299603581,plus,"('plus', 'three', 'final')",0.9167101387763874,True
42384,0.912922664139122,R8,"('R8', 'LMS', 'GT3')",0.9126678702983276,True
42634,0.8276271587599192,per,"('per', 'gallon', 'in')",0.9049202336592708,True
42828,0.8675043127981247,from,"('from', '80', 'miles')",0.9178970442223016,True
43758,0.8169446775057664,functioned,"('functioned', 'roughly', 'half')",0.9189103927482178,True
44306,0.9306871183467954,noise,"('noise', 'above', '100')",0.8475947179369213,True
44639,0.8797611727261538,wild,"('wild', 'price', 'swings')",0.9183630159975312,True
45244,0.909611409440081,flat,"('flat', 'silver', 'grille')",0.9005928670474045,True
45261,0.8136627010578869,slim,"('slim', 'steering', 'wheel')",0.925416983569008,True
45634,0.8566110572410164,3,"('3', '1/2', 'months')",0.916435939942536,True
45649,0.9052165251698364,Bloomberg,"('Bloomberg', 'survey', 'showed.Median')",0.9245632089237532,True
45776,0.789506668456279,Federal,"('Federal', 'Open', 'Market')",0.9224915193360084,True
46618,0.9041739853271672,cost,"('cost', '£20', 'million')",0.9223207866746728,True
47133,0.86866918570996,alongside,"('alongside', 'contemporary', 'pieces')",0.9159051131046896,True
48469,0.8876182738526994,Bruce,"('Bruce', 'Nauman', 'sold')",0.9247117830098782,True
48473,0.8771283439700998,$,"('$', '1.6', 'million')",0.9186576903771186,True
50174,0.9056042841080306,at,"('at', '1', 'megabyte')",0.9065368903069024,True
50309,0.8984116025587316,figures,"('figures', 'including', 'libertarians')",0.9047584229610836,True
50777,0.9032974189497324,unemployment,"('unemployment', 'rate', 'lower')",0.9109455566997458,True
51109,0.8647634888696049,Central,"('Central', 'Bank', 'finds')",0.9160175224661854,True
51155,0.9111553739560709,balance,"('balance', 'sheet', 'expansion')",0.9218705489376782,True
51171,0.9387247085016396,JPMorgan,"('JPMorgan', 'Chase', '&')",0.9421579607489252,True
51300,0.8905961774757516,faster,"('faster', 'transaction', 'times')",0.904690374688507,True
52028,0.8600988278924767,65,"('65', 'feet', '.')",0.9052074144704468,True
52232,0.8803436815232347,92,"('92', '%', ')')",0.903970341964636,True
52580,0.8220375762075463,cart.That,"('cart.That', 'additional', 'peripheral')",0.9168945550835254,True
53034,0.9345351690542352,A,"('A', '1', 'percent')",0.8496101112004646,True
53292,0.915848875176808,14,"('14', 'percent', 'higher')",0.900880924594926,True
53969,0.9034139428005412,$,"('$', '11,000', 'generated')",0.9149946979951344,True
54536,0.8738247487804668,$,"('$', '80,000', 'existing')",0.9427803457231276,True
54571,0.9288442356534602,"55,000","('55,000', 'standard', 'base')",0.8745092847334902,True
54661,0.8816259915377028,raised,"('raised', 'nearly', 'three')",0.927154945767858,True
54662,0.9061953798617206,nearly,"('nearly', 'three', 'inches')",0.9144304126096364,True
54697,0.8318148405687764,trimmed,"('trimmed', 'steering', 'wheel')",0.9268815283822476,True
54762,0.9316009025647456,Michelin,"('Michelin', 'Pilot', 'Sport')",0.7825829492690356,True
54763,0.8480579587471282,Pilot,"('Pilot', 'Sport', 'Cup')",0.9187175679860292,True
55112,0.9069858495619914,Commodity,"('Commodity', 'Futures', 'Trading')",0.9031992906434226,True
55113,0.916698207562924,Futures,"('Futures', 'Trading', 'Commission')",0.9013548232409152,True
55711,0.8821982576915542,hit,"('hit', '60', 'mph')",0.9227370170009236,True
55849,0.9318705494678396,57,"('57', 'pounds', 'saved')",0.9097142832981012,True
55864,0.9234336792406306,pounds,"('pounds', 'shed', 'via')",0.9107530614893732,True
55868,0.8745075343975691,carbon-ceramic,"('carbon-ceramic', 'brake', 'discs')",0.9170876475791226,True
57244,0.9048030623139154,$,"('$', '38', 'billion')",0.9836209285761092,True
57247,0.8358665203169342,since,"('since', 'Nov.', '8')",0.9052306701893098,True
57610,0.900604528215131,record,"('record', '$', '7,882')",0.9214890481676902,True
57683,0.8981499032816593,Commodity,"('Commodity', 'Futures', 'Trading')",0.9207603595558042,True
58283,0.9259841651022964,$,"('$', '200', 'billion')",0.9380225648984984,True
58356,0.8585286237980342,cash,"('cash', 'holds', '8')",0.904622036287036,True
58594,0.8726902389680589,around,"('around', '$', '600')",0.9047115821696966,True
59501,0.9001037978266329,$,"('$', '15', 'million')",0.9538294119515288,True
61790,0.8182838908818584,ice,"('ice', 'cream', 'sundae')",0.9174830888647753,True
62343,0.8290784946031964,Audi,"('Audi', 'A4', 'Allroad')",0.9183531713825293,True
62368,0.8376432966382288,Mercedes,"('Mercedes', 'E-Class', 'Wagon')",0.9191933888019084,True
62448,0.9163242713345604,Audi,"('Audi', 'sold', '2,300')",0.914624393527842,True
62941,0.9308144710908496,$,"('$', '500', 'Cold')",0.9253970665779684,True
62948,0.9191969966361166,includes,"('includes', 'heated', 'rear')",0.9318959688053052,True
62949,0.937895814334075,heated,"('heated', 'rear', 'seats')",0.9389794361203694,True
62953,0.8870858258231021,heated,"('heated', 'steering', 'wheel')",0.9226965684123142,True
63142,0.9200220842781532,leather-wrapped,"('leather-wrapped', 'steering', 'wheel')",0.9125010921138922,True
63143,0.9340427936735688,steering,"('steering', 'wheel', ';')",0.9230694154406894,True
63144,0.9207568677827178,wheel,"('wheel', ';', 'firm')",0.8748269023943903,True
63153,0.9068524111216144,panoramic,"('panoramic', 'sunroof', ';')",0.9165817576219889,True
63479,0.9292421496549352,European,"('European', 'equivalent', 'A4')",0.9373036491030696,True
63580,0.8737967907241141,10,"('10', 'percent', 'or')",0.9184045890630304,True
64820,0.8426619151761267,27,"('27', 'billion', 'hedge')",0.9042551637438996,True
65061,0.8852263644790539,auction,"('auction', 'house', 'issued')",0.9050083136352604,True
65479,0.8077416153001659,cowboy,"('cowboy', 'boots', 'carried')",0.9046631517229016,True
65496,0.9170975152297246,Berlin,"('Berlin', 'wall', 'signed')",0.9075991942011636,True
66352,0.9165180551701344,between,"('between', '10', 'percent')",0.9626374179625949,True
66701,0.8009721394094377,Circle,"('Circle', 'Internet', 'Financial')",0.9054551731230118,True
66727,0.8995456451956105,$,"('$', '25', 'transaction')",0.9678924760021802,True
67124,0.8099374962088993,regulates,"('regulates', 'retail', 'commodity')",0.9030898669974372,True
67392,0.8923881750077428,$,"('$', '59', 'million')",0.9258076489724528,True
67492,0.8609680528072559,record,"('record', '43,000', 'bitcoins')",0.9174987935534944,True
68091,0.9404259427713941,BMW,"('BMW', '5', 'Series')",0.9422688737889886,True
68114,0.9374101692119516,BMW,"('BMW', '5', 'Series')",0.9440186737237254,True
68174,0.8748973924284441,slightly,"('slightly', 'pinched', 'compared')",0.9049811731425491,True
68196,0.8431685830595161,high,"('high', 'strength', 'steel')",0.9279917947794214,True
68534,0.9000950202467993,75,"('75', 'percent', 'larger')",0.9183305539081444,True
68703,0.9214955710662583,now-standard,"('now-standard', 'run-flat', 'tires')",0.9184830901485052,True
68704,0.8292671059594975,run-flat,"('run-flat', 'tires', 'harmonize')",0.9183062595860408,True
68742,0.9201411837086906,suspension,"('suspension', ';', 'adaptive')",0.8367685606767111,True
69026,0.8702993925663929,250,"('250', 'complaints', 'under')",0.9229072261141744,True
69035,0.9026013343573204,.,"('.', 'About', '60')",0.9166789177647416,True
69557,0.9037343907387366,blue,"('blue', 'suit', 'hovering')",0.905996096352324,True
69561,0.9020170785658492,full,"('full', 'three', 'inches')",0.9262445383053056,True
69562,0.919209536693076,three,"('three', 'inches', 'above')",0.9235894765931072,True
69571,0.9187658526435593,box-fresh,"('box-fresh', 'Adidas', 'Stan')",0.7548701519780369,True
70485,0.9294375260632758,around,"('around', '26', 'cents')",0.9247789827606736,True
70492,0.8869502563676452,slumped,"('slumped', 'June', '21')",0.9221392776703292,True
70535,0.8533400199313252,around,"('around', '10', 'cents')",0.9476724242557588,True
70587,0.8936903160351974,around,"('around', '$', '8')",0.9028462327527444,True
70784,0.9154511656445996,$,"('$', '25', 'billion')",0.9094285262026416,True
70874,0.9031963783927196,$,"('$', '152.15', 'per')",0.9495529153026802,True
70883,0.9214654752758468,dropped,"('dropped', '0.6', 'percent')",0.8433108333318008,True
71084,0.8985537424697801,typically,"('typically', '$', '300')",0.9189186348361384,True
71338,0.8935971440248773,virtual,"('virtual', 'currency', 'jumped')",0.9039833262806296,True
71584,0.8907577585207426,Futures,"('Futures', 'Trading', 'Commission')",0.9043364375377738,True
72215,0.9045434967858028,blockchain-based,"('blockchain-based', 'research', 'platform')",0.9077889011946288,True
72709,0.8999983537681091,3,"('3', 'percent', 'below')",0.9177244460066056,True
73573,0.919817177112606,chocolate,"('chocolate', 'chip', 'ice')",0.7950548262572134,True
73952,0.9321563719731104,El,"('El', 'Celler', 'de')",0.9077948642234794,True
74541,0.9100537950733816,Italian,"('Italian', 'beef', '-')",0.9009013899221028,True
74990,0.9190011978540044,cows,"('cows', 'from', '100')",0.9102338462060144,True
74991,0.905589259429138,from,"('from', '100', 'percent')",0.91742316143863,True
74992,0.9206920609610426,100,"('100', 'percent', 'wagyu')",0.9146726390647836,True
75106,0.8294404587869989,grilled,"('grilled', 'meats', 'perfectly')",0.925761936451388,True
75412,0.8954821802299509,junk,"('junk', 'bond', 'boom')",0.9043577754766899,True
76509,0.8966393011793402,by,"('by', '30', 'percent')",0.9053163624934564,True
76784,0.8236157860189763,With,"('With', 'costs', 'rising')",0.9204541595634612,True
77019,0.8159492832082879,2017,"('2017', 'Audi', 'S3')",0.9041079688787378,True
77156,0.9195203404371596,"42,900","('42,900', 'S3', 'sits')",0.9113857246550726,True
77381,0.8837285891057316,angular,"('angular', 'LED', 'headlights')",0.9266003787185719,True
77388,0.8978014498700576,Audi,"('Audi', 'grille', ';')",0.9053461000862992,True
77706,0.8861674596574743,achieves,"('achieves', '21', 'mpg')",0.9377493846011656,True
77722,0.9058763543700372,fewer,"('fewer', 'miles', 'per')",0.9074483767644648,True
78409,0.8987311340844811,Sept.,"('Sept.', '1', 'before')",0.926219096453174,True
78664,0.906063495962344,$,"('$', '64', 'billion')",0.9122874319411266,True
78980,0.9066416052288829,almost,"('almost', '7', 'million')",0.9029081635274948,True
79943,0.8548903809460204,soft,"('soft', 'oil', 'painting')",0.9376884367432308,True
79944,0.8753441170521628,oil,"('oil', 'painting', ';')",0.9367715876669741,True
79945,0.9258654135550698,painting,"('painting', ';', 'European')",0.9281272639529768,True
81274,0.9235441660767024,10,"('10', 'cents', 'from')",0.922820155899708,True
81325,0.8969742762036975,$,"('$', '300', 'within')",0.9024915375105502,True
81363,0.8933278227197954,Chicago-based,"('Chicago-based', 'high-frequency', 'trading')",0.9029048234485714,True
81464,0.8845088171582272,reduce,"('reduce', 'capital', 'costs')",0.905397489669044,True
81837,0.9337984787391052,trades,"('trades', 'per', 'minute')",0.9241517849972236,True
82436,0.8219790600958473,traded,"('traded', 'equity', 'swaps')",0.9187062606626422,True
82547,0.8939077828425483,chartered,"('chartered', 'limited', 'liability')",0.9053523004876406,True
83236,0.901989683410641,$,"('$', '150', 'million')",0.9636926747977546,True
83404,0.8948229649805577,$,"('$', '12.5', 'million')",0.9251008675200888,True
84163,0.9404022625441996,within,"('within', '10', 'seconds')",0.9398970747716754,True
84509,0.8925293668640406,estate,"('estate', 'soared', 'past')",0.9049164049671106,True
84544,0.8964019866714545,or,"('or', '2,000', 'percent')",0.9030493246406479,True
84891,0.8420652931071548,$,"('$', '1,500.Nancy', 'Reagan')",0.9168338780274302,True
84935,0.918363078320009,monogram,"('monogram', 'N', 'R')",0.9027106397549134,True
85190,0.9116052652908464,despite,"('despite', 'governmental', 'crackdowns')",0.9208186178299111,True
85694,0.9292182055673404,100,"('100', 'million', 'investment')",0.9425202682522826,True
85737,0.907936226729284,$,"('$', '100', 'million')",0.9676044672167504,True
85817,0.8946995962236284,around,"('around', '40', 'percent')",0.920961066381201,True
86613,0.9215905834934728,including,"('including', 'severe', 'disruptions')",0.8157929868723443,True
86634,0.9159006703448702,National,"('National', 'Security', 'Agency')",0.9104052941515838,True
86656,0.8820440956173718,$,"('$', '300', 'ransom')",0.9048322723409546,True
86904,0.8225483750409504,including,"('including', 'Windows', 'XP')",0.9042082533891384,True
87205,0.9189102202442524,$,"('$', '81', 'million')",0.9007308455526508,True
87532,0.8959732710909621,National,"('National', 'Cyber', 'Security')",0.9041188669355676,True
87718,0.9186844893714388,National,"('National', 'Security', 'Agency')",0.8170327733287182,True
88054,0.8213424576784674,including,"('including', 'Windows', 'XP')",0.9184918015472924,True
88935,0.8227592542110492,began,"('began', 'June', '8')",0.9240246113659272,True
88943,0.8917049739447959,least,"('least', '5', 'percent')",0.9048763651677034,True
89116,0.9371967114362544,analyst,"('analyst', 'Vivek', 'Arya')",0.9398882740826451,True
89217,0.928909188745314,6.5,"('6.5', 'percent', 'slump')",0.9281797810195016,True
89235,0.8886665679920601,rallied,"('rallied', 'nearly', '50')",0.9217554738852496,True
89432,0.932922174506378,35,"('35', 'million', 'euros')",0.907477017485798,True
89468,0.919237498071083,nearly,"('nearly', '160', 'global')",0.8669638978815483,True
89803,0.9209784380392372,Garnier,"('Garnier', '&', 'Co.')",0.8586507359474671,True
89967,0.9404455312194246,$,"('$', '3', 'billion')",0.9245033845313092,True
89971,0.9037559569605764,$,"('$', '3.5', 'billion')",0.9067491852943568,True
89979,0.8769620816490313,between,"('between', '$', '8.5')",0.9165517482120192,True
89980,0.9168227668059236,$,"('$', '8.5', 'billion')",0.9033151262092262,True
89985,0.9138813628660288,10,"('10', 'billion', 'by')",0.938578868549408,True
